Study_Code,Clinical_Department,Country,Phase,Rare_Disease,New_Indication,Elderly_Usage,Number_of_Sites,CTT_Actual,Actual_Final_Protocol,CTT_FP_Weeks,Risk_Score,Success_Score,FSI_Demand
7e61533f,Endocrinology,Japan,2,1,1,0,27,14,2,10,0.6791009688709703,0.2754101454992638,0.7915321586051447
6d1a454a,Endocrinology,France,3,1,1,0,9,6,2,28,0.9834825129132474,0.9080666504333759,3.2198192460512804
e90901b9,Oncology,UK,4,1,1,1,45,8,3,32,0.24036761729646605,0.729441271132938,0.126132989533443
853941d4,Oncology,Japan,2,0,0,1,34,24,1,4,0.3670730497958675,0.8111807416347039,0.0
34a8d2bf,Oncology,UK,1,0,1,1,43,10,8,21,0.42613089356533274,0.2117513851055134,0.6990637955535999
2f893d67,Oncology,USA,2,0,0,0,31,18,6,7,0.3939020363505795,0.2214882898367571,0.3960859030594333
e3aaf7b5,Infectious Disease,UK,3,1,1,1,46,27,3,23,0.32679237713489256,0.20102140679040642,0.5175782338148563
e4b57c56,Neurology,Canada,1,1,0,0,41,7,1,49,0.49911914418110004,0.8714522478785725,0.9309447856233448
7ecda6f7,Neurology,Canada,3,0,1,1,11,19,3,11,0.678068311032434,0.288970847824244,1.4615775309632726
7abfe0b7,Oncology,France,3,1,1,0,9,5,1,30,0.38013123059802645,0.6788365708417494,2.9486563245532977
234a950d,Neurology,Germany,2,1,1,1,19,23,3,42,0.17172993098283013,0.5645497295649332,1.796869915915702
104139d6,Neurology,UK,3,1,1,0,46,29,4,38,0.737679274203847,0.5899509206864683,1.1747692751188294
537be94d,Oncology,India,1,0,1,0,12,5,6,28,0.5131149002031418,0.2758918225521414,2.5866141147677615
172a3c16,Neurology,Canada,3,1,0,1,13,17,7,17,0.6008340754810569,0.6717214841085906,1.2763734945847807
944ab9d4,Endocrinology,Australia,3,0,1,1,15,12,7,47,0.5098605914475236,0.13879048101249808,3.443509888655246
9e807cc2,Cardiology,Germany,2,1,1,1,26,22,9,50,0.9013217531094192,0.9941250486318658,1.7989624167016425
1f09e36d,Cardiology,USA,3,1,1,0,38,26,8,43,0.6028704974497421,0.12408301584345616,1.761499027553047
f7f52c03,Oncology,Japan,4,0,0,0,39,7,4,34,0.9309491558665747,0.14514088664427596,1.6689325837464242
eebed5f0,Infectious Disease,Japan,2,1,1,0,17,27,6,8,0.5595178074004002,0.39218267790251327,0.6308305429047165
f6363cd9,Oncology,Canada,2,1,0,1,15,22,11,20,0.36332934601625366,0.8484628201925845,0.8489639677506491
859b3435,Infectious Disease,Germany,1,1,1,0,36,24,1,13,0.419898328458577,0.33147029059906863,0.7040774278121378
7cd6228e,Cardiology,Canada,1,0,0,1,46,13,8,46,0.569916364226307,0.5247415124121954,1.0491556021289
eaecb625,Oncology,Japan,1,1,1,0,19,10,6,19,0.5769904940245077,0.11617959805857364,1.377803226044574
ccd9750f,Endocrinology,Australia,1,1,1,1,42,24,2,51,0.7186039313940539,0.1709913848352798,1.6963631706829645
2f4eabec,Neurology,UK,4,1,0,0,5,6,8,7,0.30204538496796773,0.6471694436866364,1.1329515415201417
b110e344,Infectious Disease,Germany,2,1,1,0,28,29,4,8,0.6929586099689515,0.27492262250448574,0.5609021605140738
cfa4ffef,Neurology,France,3,1,0,1,47,8,9,45,0.8007292075426771,0.7248291067175728,1.0784052074821655
01b81c2d,Neurology,UK,1,0,1,0,44,29,4,49,0.708932790520291,0.8068520575154594,0.943335343876251
6144a887,Oncology,UK,1,0,1,0,26,22,1,44,0.5336452988358318,0.8653007795250549,1.1747752559732683
324204c6,Neurology,UK,1,1,0,1,7,11,7,23,0.9925125860051506,0.22041940419939038,3.9598002458286867
231d9b6f,Endocrinology,France,3,1,1,0,18,15,10,9,0.4643318432162946,0.5099576941287325,0.4571275300554281
fb6f5031,Neurology,Australia,1,0,0,1,6,9,5,14,0.1959315531218463,0.9523733049134611,1.7164083208910004
7dae7438,Oncology,USA,3,1,0,1,36,12,10,20,0.8393537938666087,0.794875188199877,0.691367102416951
1c1e518c,Endocrinology,Australia,2,1,1,0,42,15,11,44,0.2909810969923764,0.2052643436615335,1.1039667783328153
d94202cd,Cardiology,Australia,2,1,1,0,37,28,5,6,0.7419570156121978,0.5522502205165549,0.4490876642396144
f29212e0,Neurology,Australia,2,1,1,0,46,24,4,19,0.26107865444361333,0.9301425236549549,0.0
ce700cd4,Oncology,India,4,1,0,1,10,24,6,39,0.11518965177214545,0.4960349249708673,3.372503568326689
5cf56410,Cardiology,Canada,3,1,0,0,45,19,1,29,0.2438187434101231,0.8536758479568719,0.03669610346096335
bb55491a,Cardiology,Japan,1,1,1,1,43,28,3,27,0.4392898269182397,0.5462593490697015,0.3703440550920457
114d3c6e,Infectious Disease,Canada,1,1,0,0,29,7,11,50,0.19595642241681846,0.19613050952117833,1.803104674678629
7c29f0bd,Endocrinology,Germany,1,0,0,0,38,11,7,37,0.27791117581211383,0.23306943345355663,1.099113961785561
8efda130,Neurology,Australia,1,0,0,1,15,28,11,23,0.7881636499159537,0.14200817752736175,2.091491811768899
1314fbd5,Oncology,USA,4,1,0,0,41,12,8,20,0.7928952471794176,0.2757832665180081,1.0194766093927559
277fb2ea,Infectious Disease,Germany,1,1,1,0,45,15,9,23,0.835739404471879,0.9042526898833907,0.45620274911874337
119959e2,Endocrinology,Canada,4,1,1,0,11,14,1,19,0.8570397128928332,0.685178241348931,1.9863305369933537
0fc4d535,Infectious Disease,Japan,3,1,1,0,26,24,4,7,0.47839230515237985,0.7649712413946199,0.0
01af2ace,Endocrinology,France,2,0,0,0,43,13,2,21,0.8807946946241756,0.659495312553995,0.7696202274502545
584133bd,Endocrinology,Canada,1,0,0,1,14,19,2,39,0.5733431875126388,0.447885362924513,2.7794951852018603
8f3c3ff9,Neurology,UK,2,0,0,0,25,24,1,38,0.5235374052424073,0.29517501951640146,1.8260812594932931
318d2be2,Endocrinology,Canada,3,0,0,1,10,28,5,33,0.7466826960961982,0.9330531256088477,3.219899310620665
4ac32269,Infectious Disease,UK,3,1,1,0,5,26,2,21,0.2924365702239165,0.5633468034022193,3.8621306274577076
06de7008,Endocrinology,France,1,1,0,0,38,9,4,24,0.8105476391447248,0.5329898930871454,1.0310495800801545
81ac2a27,Neurology,Canada,3,1,0,1,18,19,9,35,0.4865192439095829,0.9964936797341911,1.277066712317957
2f170c53,Neurology,USA,2,0,1,0,40,8,11,8,0.2145658726033844,0.44553698954962895,0.0789872275748103
1d089a00,Infectious Disease,USA,1,1,1,0,31,9,3,44,0.20738072216527081,0.8687127834030152,0.9018684012881972
eab04782,Cardiology,Germany,4,1,1,1,13,19,8,26,0.24841606946203013,0.8761096542851705,1.4068879345920127
d43d10de,Cardiology,France,1,0,0,1,10,21,10,33,0.9015154608194041,0.30940318932201605,3.8725596933944515
59e441fa,Endocrinology,Australia,2,0,0,0,35,27,6,30,0.9918440400331427,0.1853557231151459,1.694873156070846
71324a86,Oncology,USA,1,0,0,1,21,12,10,18,0.4212764192811551,0.9780581041442779,0.23998533540662154
7f1cbf2f,Endocrinology,Canada,1,0,0,1,47,29,5,44,0.3629294669847678,0.48330717772201026,1.0782551699449894
852f2a56,Infectious Disease,France,2,0,0,1,40,23,2,17,0.2968938753349036,0.10199828980917597,0.5612424564822984
dd262a41,Infectious Disease,Japan,1,1,0,1,25,13,11,24,0.841434829450521,0.5491160504460627,1.38405889597019
c57e4fe6,Infectious Disease,UK,1,1,1,0,31,14,3,37,0.28828673417698847,0.6573703273727053,0.7503420521586434
c52b571c,Infectious Disease,Canada,2,0,0,0,45,9,8,29,0.9316811169372428,0.7984794227032308,0.9373269666288213
84981bfb,Infectious Disease,UK,3,1,1,1,32,14,9,28,0.7006153410741545,0.9486479064012747,0.8282002928483967
3788ead7,Neurology,UK,2,1,1,0,20,26,11,48,0.9074150125022752,0.9236535660509166,2.422360527553293
a4b434e9,Cardiology,Australia,1,1,1,1,39,5,11,34,0.5986088689547316,0.9461222380493817,0.552947229556937
39cd9f4d,Infectious Disease,France,4,1,0,0,40,29,7,51,0.7216118759642471,0.1289126334335255,1.7720413400522637
eb573c7e,Oncology,France,4,0,0,0,39,29,1,9,0.6575122905919369,0.740596720447421,0.04011803995691822
83b27b74,Oncology,Germany,2,1,1,1,49,26,6,51,0.8480759106914172,0.30327216652511796,1.6154115312134742
d746c432,Oncology,UK,4,1,0,1,23,28,7,7,0.8522747300672929,0.2687974184850886,1.033644385387273
6616ac5a,Oncology,Germany,1,1,0,0,25,8,6,27,0.6308136998606126,0.8202867117393253,0.8357067392063844
75f358cd,Neurology,Australia,1,0,1,0,37,25,10,45,0.6692568843967951,0.4754167202555919,1.6308493021368382
8a76c2ad,Oncology,UK,2,1,0,0,27,9,11,34,0.9296883284480469,0.9249400682041022,1.20299292554022
c47ed7a9,Infectious Disease,Germany,1,0,0,1,10,27,2,22,0.9368798355684724,0.13819158171613596,3.0216274479273335
c88af439,Endocrinology,Germany,3,0,0,0,36,11,9,14,0.6978248055056635,0.8219627465384468,0.2879525944964711
fcab7f3d,Oncology,Japan,1,0,0,1,26,27,3,32,0.1069788503558472,0.2231509701543361,1.1044436734471903
a87327f3,Neurology,Germany,2,0,1,1,7,9,6,8,0.19397009327854692,0.25891948140848603,0.8735250030945806
305a8711,Neurology,France,3,1,1,1,39,24,6,21,0.8721482785969745,0.529616543972049,0.8190859630433742
7e7ca097,Oncology,Germany,3,0,0,0,20,12,8,6,0.17624270473372136,0.4560309467855196,0.04017568717848896
fe2badbe,Endocrinology,UK,4,0,0,1,46,21,4,43,0.29216726276955973,0.537555075515804,0.6797962863513864
22354d1f,Oncology,Germany,1,0,0,0,29,5,6,14,0.30749201219948663,0.9460238698279496,0.0
3e7e589f,Neurology,USA,2,0,1,1,21,26,1,24,0.6402112928019144,0.6916500420072158,1.1671019848510265
d5f4c2bf,Cardiology,India,4,0,0,0,43,22,9,33,0.6189695180953878,0.3612784436578006,1.0011250887848124
7bf3e7df,Infectious Disease,UK,4,1,0,0,17,16,9,22,0.36047577107836026,0.2556178410860605,1.3027325398195786
7ee25da9,Neurology,USA,1,0,1,1,32,7,7,28,0.28685022901159857,0.4780416476178403,0.8386403519320996
47f5d4b0,Oncology,Australia,1,1,0,1,15,24,11,38,0.7880788268717283,0.5064769245409638,2.679389002612532
91d25a80,Infectious Disease,UK,2,1,1,0,14,18,1,15,0.9419105400453786,0.6411649689095645,1.3126434202211705
2bfac691,Oncology,France,4,0,0,0,43,20,3,50,0.14752511192479484,0.33940243318579116,0.8859173840160423
b254222f,Oncology,India,2,1,1,1,28,22,5,29,0.21986241643437654,0.7907583223871351,0.5394641419417381
2c9edef4,Cardiology,India,4,1,0,1,42,14,4,51,0.6779475898351367,0.18861422093144342,1.8353212806374664
2b619b46,Infectious Disease,France,4,1,0,0,28,27,5,8,0.823997306504283,0.604408027240589,0.4879342274268853
e9ab56ce,Infectious Disease,India,4,0,1,0,37,19,7,22,0.8120698018987597,0.6611784879197001,0.7684635846071454
37dc465e,Cardiology,France,1,0,1,1,21,14,9,30,0.7477148377744204,0.2861484229586308,1.9330150254861331
5e1b138d,Neurology,USA,4,0,1,0,48,5,1,41,0.8986851590482827,0.8434102154496589,1.0898420201241767
cbf00da2,Oncology,Australia,4,0,1,1,40,23,5,32,0.2956139916137316,0.6538889126869097,0.26436773470550423
293dd4d6,Endocrinology,Japan,4,0,1,1,39,6,3,15,0.19656185184275243,0.6811499931831756,0.0
b399976d,Oncology,UK,3,0,0,1,10,17,3,22,0.6538266730822315,0.5479691551870947,2.3435099926890874
8d87d237,Oncology,France,1,0,1,1,20,29,11,12,0.8400483023710892,0.9186347954587046,0.4843295543878024
e9943d2b,Neurology,UK,3,1,1,0,49,20,2,21,0.6238392206325158,0.724534823338862,0.36049849943711204
06ffef83,Oncology,Australia,1,1,1,1,32,12,6,32,0.9666977387130156,0.44365200840618635,1.597128627889821
1ca2ead4,Cardiology,USA,2,0,1,1,45,7,6,6,0.8160080152526105,0.3147452990056776,0.6929123208285465
14487293,Cardiology,Japan,3,1,0,0,36,25,3,26,0.7307126208183348,0.1639555073411385,1.5048293962910482
1409d482,Infectious Disease,Australia,2,0,0,0,30,23,1,33,0.15423156178456024,0.2488247534623236,1.0181549671016052
332d4a6e,Endocrinology,USA,4,0,0,1,15,18,7,49,0.1969680148585139,0.9934146568752937,2.4729105429789193
3b63d4b7,Oncology,India,2,0,0,1,29,15,2,27,0.8063538693320749,0.4660902063924762,1.2531682671312416
3d9042fc,Oncology,UK,2,1,0,1,35,16,8,40,0.27841413301932644,0.9088185045496661,0.5677506550413919
d78a6402,Neurology,Canada,2,0,1,1,25,15,3,40,0.1259516584710915,0.253512421196738,1.4692334111257588
d3640b09,Cardiology,Japan,2,0,0,1,49,15,1,7,0.9196846171722683,0.48282478420676467,0.5810378903291231
3bbcae02,Endocrinology,India,1,0,0,1,7,26,10,31,0.9017248363311107,0.9644666203301038,4.367612630573062
a6611645,Infectious Disease,Australia,3,0,1,0,16,25,9,19,0.29663544450834267,0.18201902627736993,1.2886555612819635
9c6ed2d9,Cardiology,Japan,1,1,1,0,44,22,5,16,0.8021856322656592,0.6345858554312525,0.4703688602555296
9a8b74be,Infectious Disease,India,1,0,0,1,45,14,1,11,0.14318169509048959,0.9272547106266719,0.0
e61f1efc,Neurology,USA,1,1,0,0,29,20,10,51,0.35655220344093674,0.9547150356588255,1.131953100935622
3ecd4207,Neurology,France,2,1,1,0,21,12,11,28,0.6613002174309623,0.8614067294005981,1.194594771645742
24776f36,Oncology,UK,1,0,0,1,42,10,6,5,0.7868610965425469,0.8703409891241345,0.046644489358831163
b5cffc45,Endocrinology,Germany,3,0,1,0,40,23,10,33,0.10935926990937062,0.686964658705719,0.20873712357074692
c46f44c2,Infectious Disease,Germany,1,1,1,0,40,17,3,43,0.39358775194636964,0.29838079728549327,1.3266899951643827
835e20ec,Cardiology,USA,4,1,0,1,23,19,11,6,0.29291100405730663,0.7576106900364278,0.0
0df2947c,Neurology,Australia,2,1,0,1,48,17,4,26,0.9989023651738512,0.9805460180128509,0.6223053152838476
3a47427d,Oncology,UK,4,1,0,1,6,5,8,32,0.7038840091467116,0.5733401632055297,5.393878888675304
f15e545c,Oncology,Australia,3,0,1,0,21,25,5,44,0.46510430759176946,0.3346276231692111,2.023160846547536
0428dd74,Infectious Disease,UK,3,1,1,1,34,6,6,33,0.16808734178261653,0.616123960988498,0.4658516993205314
1f1f0c2b,Neurology,USA,3,1,0,0,14,17,10,14,0.6388032317562674,0.7215493206165547,0.7035090404997332
a84c6824,Endocrinology,UK,3,1,0,1,39,6,4,24,0.6775313238424578,0.2874522784819718,0.9817773740631767
99a7cf92,Neurology,France,1,1,0,1,40,29,6,30,0.8347653347528216,0.7472704128484803,0.9843596233582466
92a01b9f,Infectious Disease,Australia,2,0,1,1,37,15,3,27,0.35971916762742717,0.6286895729959527,0.3702308221535392
b7087efa,Infectious Disease,USA,3,0,1,1,5,17,10,34,0.9832852724320867,0.651114918233247,6.92156596843942
4cd23384,Neurology,France,4,0,1,0,22,14,1,33,0.4955191653825546,0.37538913676585073,1.7701557277179565
f43138ac,Infectious Disease,UK,3,1,0,0,8,27,6,4,0.36634937919354427,0.23974012910008102,0.5790737737610381
cd899592,Neurology,USA,2,1,1,1,31,26,1,4,0.4136044006013121,0.6611049057750913,0.0
97e7c43b,Cardiology,UK,4,0,1,0,29,19,10,11,0.5676274476704114,0.6276096902373146,0.3981560991737907
aba92adb,Neurology,Australia,4,0,0,1,32,5,3,51,0.9430314080564145,0.4042109689424245,2.1848877156129047
b2d3d1a7,Neurology,USA,4,1,1,1,26,18,8,45,0.7616429181274604,0.3663043007912985,2.2011590900665796
488a5cea,Infectious Disease,UK,1,0,0,0,46,14,7,37,0.6193986845174041,0.41252001549605566,1.101269394062847
138f278d,Infectious Disease,Australia,3,1,1,0,29,22,8,19,0.24652934918187563,0.5408950046489381,0.18619529506709545
650c4314,Oncology,France,1,1,0,1,21,15,10,30,0.23441797980178453,0.9773377616000452,0.544216872759166
91edeec6,Oncology,Canada,4,1,0,1,48,11,10,7,0.5519772224322076,0.7872081598235857,0.02771936220483935
2e0ecd5b,Cardiology,France,1,1,1,1,16,19,2,22,0.7558378341414842,0.8665657652489396,1.1860981545833762
b86fde49,Oncology,UK,1,1,0,0,20,7,10,32,0.7759109554795991,0.5550846120131779,1.7535617589700654
1000bca8,Neurology,USA,1,1,1,1,41,6,7,44,0.3033229454886326,0.5735112506008992,0.6766981743786187
be0e04c1,Infectious Disease,Germany,3,0,0,1,20,26,4,6,0.19008956156252793,0.2838921952933249,0.16570257733445484
f57c383c,Oncology,France,4,0,0,1,21,12,1,14,0.4460148903284106,0.7489412526709704,0.32880869795565965
1f67c7a2,Oncology,France,4,0,0,1,35,12,11,11,0.9263552889196668,0.4794256052115725,0.6674693292252927
0e6436e9,Cardiology,Australia,3,1,1,1,19,15,3,42,0.590830527402444,0.7682021729359401,1.927846395768403
38b886be,Cardiology,India,1,0,0,1,17,20,5,36,0.3880897901485969,0.4681498431813629,2.069453315008334
1c0f98c2,Neurology,Germany,1,1,0,0,44,6,10,11,0.39127390150520946,0.19766546849251732,0.3628415063238492
0e1ad9a4,Infectious Disease,UK,2,1,1,1,31,26,8,28,0.21887834069996648,0.2557483190072951,0.805724602446458
15f3fb19,Cardiology,Canada,2,1,0,1,25,9,2,27,0.5259013624955422,0.830413070267215,0.5568604575509192
97797b66,Oncology,USA,2,1,0,0,6,11,2,29,0.8122264106633545,0.33275484060303934,5.506624927646751
6b0a187d,Infectious Disease,India,3,0,0,0,12,24,8,29,0.9717028223746071,0.3379189803103624,3.1446329116783813
c489c309,Infectious Disease,UK,4,0,0,1,46,17,9,20,0.5514354999621779,0.9364312810020982,0.0003062223230377442
011be6a5,Oncology,Japan,2,0,1,0,11,6,10,30,0.2504934242584196,0.6918720605801646,2.1959859973852103
f27286ee,Cardiology,Canada,4,1,0,1,14,7,1,32,0.7146553598225781,0.2028767984959207,2.7985817267642554
